pre.reason,post.reason
Because The National Cyber Security Center  traced the attack back to government computers operated by Vadare.,a group known to attack government systems could be responsible for the cyber attack
"Because they were responsible for the prior event, it is reasonable to suspect them in this new event.  There is a chance they are not to blame, but it is remote.  After more evidence is produced, one can decide with a higher degree of certainty whether or not the Vadarians are responsible.","Now that it is know that hackivists are involved, Vadare may or may not be involved.  One must examine the links between the two groups to find out.  After the two groups are investigated, more evidence should be available to decide the guilt or innocence of Vadare."
"Computer locations can be hidden.  The attack may have come from Vadare or it could have come from someone who wanted us to think it was Vadare.  Perhaps the NSCS  couldn't locate the location at all but rather than admit this, they've just chosen someone who it is hard to prove it is not.","They have past form for this so it's not impossible.  There could however be a copycat group.  Vadare could still be guilty and have just used this group's tactics to help defer the blame.  A different country may have copied this group as an extra level of suspicion, if we didn't believe in Vadare's guilt."
Whilst I suspect that it may well be Vadare's that have attacked our internet.  There appears to be no concrete evidence supplied that it was them.  Merely a suggestion that it must have been them as they are our enemy.  But in order for the president to act he needs facts.,"As previously stated, actual facts are required before pointing the finger at any one party for the attack.  I have even further down graded the assessment that it was Vadare and are recommending that nothing is done until the truth is known"
"As director of the NCSC, I would have confidence in my team and their sources.  If I have confidence in my team and they tell me that is the case, I should trust in what they say.  I would be happier with more information though.",Another player has been suggested as a possible originator.  I would be more confident if I knew what led my team to believe it was Vadare.  As Director of the NCSC I imagine my team would already know if the chaos team and have reasons for suggesting Vadare instead.
Vadare has a lot to gain for messing with more election and other computer dependent services. The evidence of the cyber attack location is evidence that they are behind this. But it could be another country who wants to hurt or relations with Vadare. ,The act by this group can be personal or done by contract from Vadare. Only more information can make this conclusion sure. I can't let past issues with Vadare hurt current relations if I a wrong.
It has been traced back by cyber security and there have been subsequent attacks so it would seem likely that they were responsible.,Although it originally seemed that it did. With further evidence it would seem that the new group were doing it to cause problems
"The cyber-attack was traced back to Vadare by my own department, the NCSC, in which I have complete faith. My recommendation to the president is therefore without hesitation.",The new information does cast some doubt onto the possible role of Vadare. I would indicate that I am no longer certain of the origin of the cyber attack and would list futher actions I would take to resolve the issue.
"The cyber attack was traced back to computers from Vadare. Therefore, someone from Vadare caused the cyber attack. The only other scenario could be that someone else has set it up to look like this is what happened.",The new information means that it is not certain that the cyber attack came from Vadare. It could be that this other group caused the cyber attack. More information would be needed to know for sure.
"Whilst the National Cyber Security Center traced the attack back to Vadare, it's always possible that they are either wrong or lying for political purposes - & there's not enough information to be certain if either could be the case.","As noted previously, it was possible that the National Cyber Security Center were either wrong or lying for political purposes.    Now, the question asks if the attack came from Vadare, NOT if the Vadare government were behind it - so, whilst I've lowered the likelihood slightly, there's nothing yet to actively suggest that the attack didn't come from Vadare - but may have been either state sponsored or rogue group hacking."
It sounds like Vadare has the technology and is the most likely candidate. Cannot be 100 per cent without more info though.,It now sounds like there is another possible candidate. That makes Vadare less likley.
"The computers that are most likely responsible for the cyber attack are found within the Vadere government. While there is no proof that the hackers were backed by the Vadere government, there is also no proof that they weren't acting on their government's orders. Since government computers are often locked down and have restrictions on what employees can and cannot access, in all likelihood the hackers were acting at the request of the Vadere government. ","The CyberChaosCrew are most likely capable of spoofing the location of the attack to make it appear that the attack originated within the Vadere government. It is likely that they did this in order to increase tensions between two neighboring governments. Since it is possible that the attack was by the CyberChaosCrew who are known for targeting governments, it makes it hard for me to be confident that this action was completed by the Vadere government. "
As the cyber attack originated from gouverment computers of a neighbouring country I think it is likely that someone with ranking who would be able to gain access to a controlled or secure building of such. If it wasn?t the gouverment officials themselves there should still be some blame for letting such things happen on their premises,"Although it may have not been vadare officials themselves, their systems should be more secure to prevent such incidents occurring. As they were vulnerable they should still be held partically responsible for letting it happen "
"I believe that the cyber attack was potentially orchestrated by Vadare, mainly because the NCSC traced the computers to Vadare.  I am not 100% certain, as the perpetrator could have been using a proxy server.I would assume that the NCSC took this into account however, and did their due diligence to investigate all aspects of the attack.","It seems my suspicions were most likely correct and the attack was only meant to look like Vadare.  I am less confident that is was Vadare, but I cannot pin it on anyone really, until there is more information. Vadare may have hired the Cyber Crew to perform the attack.  Investigations need to further check into things."
The National Cyber Security Center traced the attacks back to Vadare government computers. However I did was not fully confident as I thought there may be the chance that someone had infiltrated Vadare's system to  frame  them somehow.,Knowledge that the attacks replicate attacks by the cyber attack group further confirms my suspicions that Vadare may have be hacked and  set up . I still believe there is a possibility that the Vadare government are responsible but I have lowered my confidence as I believe there is now a strong chance that they were hacked.
they're the only country that would have interests in attacking this way. i think they have something to benefit. they're also probably experimenting to see what they can get away with.,these hacking attempts are sophisticated and have a lot of money and talent and time behind them. i can't imagine people would do it solely for fun. vadare has the means and the motive for sustained attacks.
"The National Cyber Security Center thinks the attack came from Valdare. Presumably, this government agency would have some expertise to determine the perpetrator. However, maybe they are just looking to find someone to blame. So it is uncertain.",It is possibly the hacktivist group used computers from Valdare to do the attacks. This makes sense. It may not be an official Valdare attach but merely done by groups within the borders.
"I am not sure or not if the attack came from Vadere, But since the attack is on going it needs to be treated seriously. I would need more information to form a better conclusion",I am glad that I did not just assume Vadare of the attack. I would think with the added information that they are not responisble. I need to know where the cyber attack group comes from.
"Because my National Cyber Security Center (NCSC) traced the attack back to government computers operated by the neighboring country, Vadare.",Because of the hacktivist group called the CyberChaosCrew. And that this group has been known to actively target government systems for fun over the last 12 months. 
"The NACS traced the cyber attack from the government of Vadare.  Is there a possibility that the systems of checking this have been tampered with internally, are not reliable or that Vadare have been set up by someone outside of NACS?",This gives more reason to keep an open mind that the culprits of the cyber attack may not be Vadare government.
"The fact the attack was traced back to Vadare means that unless someone could bypass the security services procedures for tracking attacks it had to actually come from Vadare    Accessing the data made it seem logical that the attack came from Vadare.    The disruption caused would most likely benefit Vadare in some way, and it would be important to look into the reasons","The tools where used by a well known group so that needs to be considered    The fact the attack was traced back to Vadare, at the moment shows no evidence that the attack still did not come from there.    It is quite possible that Vadare paid the group money to stage the attack"
"I trust the NCSC to honestly report their findings, so if they say the attack originated on computers within Vadare then I believe them. However just because the computers are located within Vadare, doesn't mean that Vadare's government are necessarily to blame, it could be a 3rd party operating on their territory or a rogue group, hence the lower confidence rating. ","I'd already factored in the prospect of a third party being responsible when providing my earlier confidence rating, so my confidence hasn't dropped significantly, but the new information that these tools match those used by the CuberChaosCrew group has lowered it somewhat. I'll wait to hear whether the match is on superficial details or on a more fundamental level. "
The passage said the attack had been traced to Vadare computers. These folk are not friendly. The attack heightened when air traffic control was affected as well as voting 2 days before.,Additional information suggests the techniques are recognised as being used by CCC. These guys do it for fun. They've been at it for a year. It does not say where they are located or to whom their national allegiance lies.
"The cyber security center traced the attach back to Vadare which is the main reason that I am confident. It seems as though they want to gain control of the air traffic control system in Idimore. They also would be able to gain knowledge of income taxes, voting patterns, etc. of the Idimore people.",I think that Vadare could be working with the cuyber chaos crew. Because they target governmental systems they could easily have been influenced or hired by the leads in Vadare to hack into the system. I could see Vadare using the group so the hacking wouldn't be traced back to them.
"The attack was traced back to Vadare's government computers.  I am confident that this tracing was correct.  Hence, I consider Vadare to be complicit in this cyber-attack.","The new information show that the method's used in this attack, have been used by a hacktivist group. Hence, method alone cannot implicate Vadare in this attack.  However, motive for the attack still suggests that Vadare may well be responsible."
"Based on the vignette it seems likely Vadare is responsible. There was little information provided about Vadare, and no information provided about other threats. With no other information to go on, I will assume Vadare is the culprit. ","I'm not sure where this hacktivist group's allegiances lie. It is entirely plausible that they are working in conjunction with Vadare. If they have a common enemy, they may be allies."
"The NCSC was able to trace the activity back to the government computers of Vadare. As the director of NCSC, I have confidence that our systems are correct in establishing the source of the attack. The problem is on-going so continous assessments of the issue can be made.",The CCC group are notorious for similar attacks therefore it is possible that they have managed to corrupt systems under a false identity. They have acted often within previous months.
The attack was traced back there but there is the possibility that someone could have framed them and made them look guilty  I would want more information before I made my mind up. It is possible that another group wants Vadare to look guilty and take the fall.,There is a history of this group carrying out similar arts is so they have form. They have attacked governments before. It would make sense not to be Vacate as they would be at risk of being found out which would affect any future credibility. They would have too much to lose.
I am the director of the NSCS and the NSCS stated that the attack originated from Vadare. I have no reason to doubt this. I have full confidence in my organisation. ,I have confidence that the NCSC would be aware of the existence of this hacktivist group and have taken it into consideration in their assessment. 
It seems pretty clear the cyber attack came from Vadare. I only have a little bit of doubt about Vadare's role in the attack. It could be a lone hacker or small faction of people working in the government and not the government as a whole.,This confirms the suspicions I had before. I thought there might be a small group of people working within the government that do not represent the government as a whole. The actions of this group do not represent the whole country.
My team has traced the neighbouring country's government as the source of the attack. As head of this company and team I trust my team to accurately do their job and provide factual feedback. I trust that my company has the appropriate resources to be able to establish the source. I'm am not 100% confident though as complicated hacking may show it was the neighbouring country as a diversion tactic.,I am now slightly less confident given this new piece of information. However if my team is still confident that the neighbouring country's government is responsible then as head of this company/team I need to trust their findings.
"I am not sure whether or not the attack came from them as I have not seen the evidence. I would need to see what concrete evidence there is that the attack came from them. Until then, I am making a 50/50 assumption.","Again, I need more information. It could have come from either source. As both are plausible, it would be 50% for each group in terms of possibility."
I feel fairly confident that if the NCSC has decided it has definitely traced the attack back to government computers in Vadare then this must be true. I would feel more confidence if I knew more about the NCSC but I assume as I'm their director they would know to only tell me something was certain if it was. I would be more confident if I had the evidence explained to me.,"The NCSC have not told me otherwise so I fail to see how this new information changes anything. They definitively said they had traced it to governments computers in Vadare, if there was any chance of that being a mistake or falsified they would have said. Though I would be ringing my subordinates to check at this point."
"This neighboring country is making very serious attacks against the voting system. It would be reasonable to assume they are capable of such a similar, significant act. I need more confirmation of the source of this attack before making a stronger assessment. ","This group could be in cahoots with the government. I think that since it was traced to this group it is less likely that the government is involved. Even if the government isn't doing it themselves, they might be funding it. "
"The National Cyber Security Center (NCSC) traced the attack back to government computers operated by our neighboring country, Vadare.","Further forensic analysis has revealed that the tools and techniques used for the cyber-attack are also employed by a hacktivist group called the CyberChaosCrew. This group has been known to actively target government systems for fun over the last 12 months. Therefore, they might well be the group responsible for the attack."
I believe Vadare are those who hacked the system as it was traced back to the computers there. But also I've chose 8 on the scale because there's still a small chance it could be others. For example just because the computers are at that location doesn't mean to say it's not somebody from a different state just using those computers. ,I still stick by my original opinion which is Vadare playing a big part. The new information wasn't clear on where the cyber 'crew' who have been hacking systems for 12 months operate from so Im not going to change my mind
"I am very confident, but not completely confident of Vadare's role in the cyber-attack because while I do not have any reason to doubt the assessment I also understand that it an error is possible and do not know motives in this scenario.","Now that I know there is a possibility that another group would both have the means and motivations to commit this cyber-attack I have more doubt with regard to the earlier assessment. I still do not know the relationship between Idimore and Vadare, so I don't know the political or other motivations that could be present."
"As head of the organization that reported that the attack came from Vadare, I would be in a position to know how good the information was.  I would use my authority to make sure that information was accurate.  Since it is a covert operation there would probably some doubt however. ",First I would want to know why the original assessment was wrong and make improvements. Second I see if there might still be a connection between the hackers and Vadare. Further investigation is warranted.
"intelligence reports and experience may indicate the source of the attacks; however, it is necessary to consider other options too. it could be that another state in the culprit. the fact that voting has been targeted may indicate that a regime change is part of the attack.","given the link with hackers it may be more likely that the attack is linked to possible regime change. alternatively, it could be another state is trying to create chaos and instability to further their own aims."
"The National Cyber Security Centre has determined that the cyber attack has come from the neighbouring state; however, there is no independent data to verify this, and no feedback from Vadare itself.  The NCSC may have an undisclosed reason for citing Vadare as the source of the attack.  Even if the source is Vadare, there is no evidence to suggest who or what entity has created it - if it is on behalf of the state.","There is nothing to suggest that the CyberChaosCrew and Vadare are mutually exclusive.  It could be carried out by them in Vadare, or on behalf of Vadare, or be completely independent.  "
It could easily be done by a third party who wanted to frame Vadare and start a war between us. It is not at all difficult for a skilled cyber terrorist to fake the source of an attack. There needs to be more proof for me to blame Vadare.,"There was no precedent given for Vadare to be hostile to my country. I suspect a group of hackers who like to ruin things for fun could certainly be capable of ruining my country's Internet operations. Given the group's recency (12 months) and usage of similar techniques I would think they are more likely to blame, but there's still no definitive proof. That is why I chose a middle option. Still, there's no reason to believe Vadare is actually culpable even though the attack was traced back to them. "
Attack has been traced back to them,Came from a hacking group - don't know if they are connected to Valdare
several sources have stated that the attack is likely  to come from Vadare; however this is not yet proven.  It is therefore likely but not certain.  More investigation is needed in order to have greater confidence.,"Although the sources state the attack is consistent with Vadare, there is now new information.  The new possible attackers also fit the profile of this hack.  It is therefore another possibility so I am slightly less confident of the involvement of Vadare"
"I am increasingly confident that the current cyber attacks have come from our neighbour Vadare. this is due to the fact that my organisation has traced the attacks back to technology and computer equipment operated and located within the Vadare government. At present, we do not have information positively identifying Vadare government agents committing this action, but the location of the attacking computers points quite decisively at an attack from a foreign government.","There are indications that the attack may have been orchastrated by a hacktivist group to make Vadare look responsible, though further investigation is required."
"The computers are operated from Vadare but that doesn't mean it's definitely come from there, although it seems that they could have been affected by it. They may not have had enough protection against the attack but without more information it's not fact.",None of the additional information points specifically to this country. The further evidence sounds as though it might be a group of  hacktivists  rather than an attack b a country. Nothing indicates the involvement of a specific other country.
The National Cyber Security Centre traced the cyber attack back to computers operated in Vadare.,This throws more light on the situation and suggests that the attack could have been caused by hackers from any origin.
"The information given does not appear to give a particular indication of the motives behind such an attack, therefore it cannot necessarily be assumed that it was the government from Vadere. If the computer information can be traced back to there, that is proof of the geographical origin but not the other motive. The key element would be to establish the motive before assuming guilt.","It seems more likely that this group is the culprit due to past behaviour. There continues to be a lack of obvious motive from the Vadare government. Also, any other motive is also lacking."
The NCSC has traced the source of the cyber attack to Vadare,"The NCSC has since found that the hacktivist group, CyberChaosCrew, use similar tools to those in the possession of Vadare. This raises a number of alternative possibilities i.e. the hack was done for fun by CyberChaosCrew or the Vadare government hired CyberChaosCrew to hack our systems or CyberChaosCrew is actually part of the Vadare government's cyber offense team."
"I am uncertain as I have only received 1 report that it was them. For me this is NOT conclusive proof, this is only an initial guide. With the possibility that the attack could be framing Vadare I could not yet take the risk. I need a second at least independent and impartial company to also investigate. If the attack is sophisticated it may look like it's Vadare but be another terror group trying to create conflict!","I now, as suspected, have information which shows the initial information was suspect. It would be very possible for another to make it look like it is Vadare. It would be so obvious and daft for them to make it so easy to spot. I am still not convinced as they could have asked the hacker group to perpetrate or even be making it look like it's the hacker group. Without more in depth analysis and specialists perhaps checking, it is still uncertain."
"There is a high probability that the attack came from Vadare because most government computers are secure and difficult to hack into. Also, if this attack has been on going, Vadare would have given a statement as to the hacking of their systems. Also, they would not have let it go on for this amount of time without addressing the issue. If Vadare is not responsible directly then they are complicit by allowing it to go on for this long.",This adds a face to the mystery but I am not convinced that Vadare is in the clear as of yet. There are many things that they can do to at least temporarily halt the cyber-attack. Shutdown affected computers and use backups is one solution. I knocked down my initial grade because the hacking group has a history and could very well be acting alone.
I?m director of the ncsc so I am confident that my staff have done a good job in tracing the source. It seems plausible given our current relations. I?m also keen to maintain my position so it helps to show success,Now I have new information it?s only right to reconsider the results. Even if I have confidence in my staff we need to ensure we have correct data
"There isn't enough proof for me to assume that it is Vadare. It's only a speculation, which is something that could end up being wrong later. I'm a firm believer in innocent until proven guilty, and Vadare hasn't been proven to be guilty.","Now that there is sufficient evidence, I can assume that it was Vadare. I'm not completely certain as it could just be a coincidence, but there is enough evidence for me to be suspicious. I highly doubt that it is a coincidence though."
It appears that they never took the necessary precautions like we did with regards to cyber attacks. We have invested heavily in a new system and with the NCSC very confident it also came from vadare.,There could now be a slight possibility that the cause could have came from CC crew as evidence seems to point to the fact they like to target new government systems 
The NCSC made the determination. They have better resources and tools than i do. They have the educational background to make the decisiln,The new information definitely changes my perspective. However it is possible it was directed by others or the result of hiring the collective. It would depend on the interplay of information
"In the previous text no proven facts were provided to convince me that Vadare was unequivocally responsible.  Therefore, I have no proof either way as to who is the culprit.  I would need more evidence in such a high profile incident.","The new evidence looks to clear Vadare of responsibility.  However, again this does not seem to be definite."
cyber attacks have been traced back to Vadare by own specialists,additional information received brings into doubt to a certain extent that the attack has come from Vadare but could be people who are able to disguise exact location 
Sometimes a government can make a country look guilty even though they're not. That's why I don't trust the security team 100%. Another foreign government could have set up Vadare to make them look guilty and start a war between the countries. That's why I'll give Vadare the benefit of the doubt.,The cyber group could be trying to start a war between the countries. I wouldn't blame Vadare even if the hackers came from their country. It's not the same as the government doing bad things. It's just members of the public.
I am fairly confident that it was Vadare who launched the cyber attack. The teams had traced the source of the attack back to that region. ,This new information doesn't really change my view. 
The analysis inferred that the attack originated in Vadare and that seems to make sense.,It seems as though a different group may have been framing Vadare for their own ends.
They have conducted an investigation and found that the source of the attack was traced back to the neighbouring countries Vadare Government computers. Therefore as the attack came directly from the source one should be right to believe they were the instigators. ,"Whilst the attack came from the neighbouring country  Vadare's government computers, it is possible that the attack was done by hackers. This is because they use similar technology to Vadare - it's hard to decide who is the culprit. "
"I am not confident, because we only had a suspected cyber-attack, per the vignette, not a confirmed cyber-attack. Additionally, whatever we are calling a cyber-attack was traced back to Vadare, but I have no evidence as to what we traced back, where in Vadare it is, and why we believe it's a cyber-attack. Thus, I'm not confident, but there's evidence that Vadare has at least been involved in our system.","I don't know how widely used these tools are, and there's nothing that mentions that Vadare is related to this hacktivist group. Additionally, just because the hacktivist group uses these tools does not mean they employed them this time."
The vignette suggested that the attack originated in Vadare and that it was aimed at critical systems in Idimore. I have not indicated that I am very confident as I have not had an opportunity to review the evidence or rule out that the attack was carried out by someone else.,"The new information suggests an alternate source of the attack, however there is no information provided on this source. I do not know if this is an international organisation or if it is an organisation with significant membership in Vadare. The new information complicates the situation, but does not provide clarity."
I feel that we need to trust the information supplied by the National Cyber Security Center. It is possible that our information is wrong and that the attack came from another source either within or outside Idimore so there is some room for doubt. However without any other information to go on it is most likely that the NCSC is correct and the attack is from Vadare. The fact that this happened during an election suggests that it is indeed the government of Vadare and that they are trying to influence the results of the election for their own benefit. ,The fact that the same tools are used by the hacktavist group does make it slightly more likely that the info from the National Cyber Security Center is incorrect. However this is a very serious attack involving air traffic control systems as well as tampering with the election so I find it unlikely that it is just an ordinary group of hackers. I still find it most likely that it is from the hostile government of Vadare.
The government computers that were hacked were controlled by vadare ,If they can get into government computers and hack them it may have been made to look like vadare but there computers would of been hacked 
"This sounds like a pretty damning description. I'd say you should never be 100% sure (especially from only one source) that everything is as it seems at face value. It could be that another country orchestrated the attack and framed Vadare by leaving a false trail. It could be that someone part of the Vadare government acting individually or as a small radical group orchestrated the attack. That being said, Occam's Razor says we should be quite confident.","I'm not entirely sure that forensic evidence is actually a thing when investigating computer crime, I thought that was only fingerprints, tiremarks, and such. My gut feeling is to be slighly less confident in my convictions, but to want to do further research on the credibility of the source.  This could be misinformation from Vadare. Additionally, the group could have been working in collaboration with Vadare's government. The Hacktivist group executing the attack doesn't mean Vadare is blameless."
